"compactor","soil","forceKn","frictionAngleDeg","centroidalDiameterMm","publishedEquationKpa","calculatedKpa","errorToPublishedKpa","sourceLocation","note"
"rammer","stone",20.5,36,970,3.4,3.38802233856443,-0.0119776614355724,"FHWA-RD-98-191 Table 5.5, printed p. 178/PDF 193",""
"rammer","siltySand",20.5,28,970,7.2,7.22273518854984,0.0227351885498353,"FHWA-RD-98-191 Table 5.5, printed p. 178/PDF 193",""
"vibratoryPlate","stone",5.2,36,970,0.9,0.859400788318782,-0.0405992116812184,"FHWA-RD-98-191 Table 5.5, printed p. 178/PDF 193",""
"vibratoryPlate","siltySand",5.2,28,970,1.8,1.83210843807118,0.0321084380711778,"FHWA-RD-98-191 Table 5.5, printed p. 178/PDF 193",""
"vibratoryPlate","stone",5.2,36,1575,0.3,0.253763399737675,-0.0462366002623247,"FHWA-RD-98-191 Table 5.5, printed p. 178/PDF 193",""
"vibratoryPlate","siltySand",5.2,28,1575,0.5,0.540983988207105,0.0409839882071047,"FHWA-RD-98-191 Table 5.5, printed p. 178/PDF 193",""
"none","stone",4,36,970,0.7,0.661077529475986,-0.0389224705240141,"FHWA-RD-98-191 Table 5.5, printed p. 178/PDF 193",""
"none","siltySand",4,28,970,1.4,1.40931418313168,0.0093141831316752,"FHWA-RD-98-191 Table 5.5, printed p. 178/PDF 193",""
"none","stone",4,36,1575,0.2,0.195202615182827,-0.00479738481717285,"FHWA-RD-98-191 Table 5.5, printed p. 178/PDF 193","Published phi=28 deg is an erratum; 36 deg reproduces 0.2 kPa"
