"case","prescription","resultant","metric","value","unit","tolerance","pass","gridPoints","integrationSteps","evidenceLevel"
"biaxial-complete","Proyección completa del estado biaxial","N","Máxima diferencia absoluta",7.95807864051312e-13,"kN/m",1e-07,TRUE,728,8192,"CI"
"biaxial-complete","Proyección completa del estado biaxial","M","Máxima diferencia absoluta",1.28252963804698e-12,"kN m/m",1e-07,TRUE,728,8192,"CI"
"biaxial-complete","Proyección completa del estado biaxial","Q","Máxima diferencia absoluta",1.07680531158394e-12,"kN/m",1e-07,TRUE,728,8192,"CI"
"biaxial-normal","Carga exclusivamente normal","N","Máxima diferencia absoluta",1.26476606965298e-12,"kN/m",1e-07,TRUE,728,8192,"CI"
"biaxial-normal","Carga exclusivamente normal","M","Máxima diferencia absoluta",2.38742359215394e-12,"kN m/m",1e-07,TRUE,728,8192,"CI"
"biaxial-normal","Carga exclusivamente normal","Q","Máxima diferencia absoluta",1.54365409343882e-12,"kN/m",1e-07,TRUE,728,8192,"CI"
